Afghanistan,Kabul,Afghani,Asia
Albania,Tirane,Lek,Europe
Algeria,Algiers,Dinar,Africa
Andorra,Andorra la Vella,Euro,Europe
Angola,Luanda,New Kwanza,Africa
Antigua and Barbuda,Saint John’s,East Caribbean dollar,North America
Argentina,Buenos Aires,Peso,South America
Armenia,Yerevan,Dram,Asia
Australia,Canberra,Australian dollar,Oceania
Austria,Vienna,Euro (formerly schilling),Europe
Azerbaijan,Baku,Manat,Asia
The Bahamas,Nassau,Bahamian dollar,North America
Bahrain,Manama,Bahrain dinar,Asia
Bangladesh,Dhaka,Taka,Asia
Barbados,Bridgetown,Barbados dollar,North America
Belarus,Minsk,Belorussian ruble,Europe
Belgium,Brussels,Euro (formerly Belgian franc),Europe
Belize,Belmopan,Belize dollar,North America
Benin,Porto-Novo,CFA Franc,Africa
Bhutan,Thimphu,Ngultrum,Asia
Bolivia,La Paz (administrative); Sucre (judicial),Boliviano,South America
Bosnia and Herzegovina,Sarajevo,Convertible Mark,Europe
Botswana,Gaborone,Pula,Africa
Brazil,Brasilia,Real,South America
Brunei,Bandar Seri Begawan,Brunei dollar,Asia
Bulgaria,Sofia,Lev,Europe
Burkina Faso,Ouagadougou,CFA Franc,Africa
Burundi,Gitega,Burundi franc,Africa
Cambodia,Phnom Penh,Riel,Asia
Cameroon,Yaounde,CFA Franc,Africa
Canada,Ottawa,Canadian dollar,North America
Cape Verde,Praia,Cape Verdean escudo,Africa
Central African Republic,Bangui,CFA Franc,Africa
Chad,N’Djamena,CFA Franc,Africa
Chile,Santiago,Chilean Peso,South America
China,Beijing,Chinese Yuan,Asia
Colombia,Bogota,Colombian Peso,South America
Comoros,Moroni,Franc,Africa
Republic of the Congo,Brazzaville,CFA Franc,Africa
Zimbabwe,Harare,United States dollar,Africa
Costa Rica,San Jose,Colón,North America
Cote d’Ivoire,Yamoussoukro (official); Abidjan (de facto),CFA Franc,Africa
Croatia,Zagreb,Croatian,Europe
Cuba,Havana,Cuban Peso,North America
Cyprus,Nicosia,Euro,Europe
Czech Republic,Prague,Koruna,Europe
Denmark,Copenhagen,Danish Krone,Europe
Djibouti,Djibouti,Djiboutian franc,Africa
Dominica,Roseau,East Caribbean dollar,North America
Dominican Republic,Santo Domingo,Dominican Peso,North America
East Timor (Timor-Leste),Dili,U.S. dollar,Asia
Ecuador,Quito,U.S. dollar,South America
Egypt,Cairo,Egyptian pound,Africa/ Asia
El Salvador,San Salvador,Colón; U.S. dollar,North America
Equatorial Guinea,Malabo,CFA Franc,Africa
Eritrea,Asmara,Nakfa,Africa
Estonia,Tallinn,Estonia Kroon; Euro,Europe
Ethiopia,Addis Ababa,Birr,Africa
Fiji,Suva,Fiji dollar,Oceania
Finland,Helsinki,Euro (formerly markka),Europe
France,Paris,Euro (formerly French franc),Europe
Gabon,Libreville,CFA Franc,Africa
The Gambia,Banjul,Dalasi,Africa
Georgia,Tbilisi,Lari,Asia
Germany,Berlin,Euro (formerly Deutsche mark),Europe
Ghana,Accra,Cedi,Africa
Greece,Athens,Euro (formerly drachma),Europe
Grenada,Saint George’s,East Caribbean dollar,North America
Guatemala,Guatemala City,Quetzal,North America
Guinea,Conakry,Guinean franc,Oceania
Guinea-Bissau,Bissau,CFA Franc,Africa
Guyana,Georgetown,Guyanese dollar,South America
Haiti,Port-au-Prince,Gourde,North America
Honduras,Tegucigalpa,Lempira,North America
Hungary,Budapest,Forint,Europe
Iceland,Reykjavik,Icelandic króna,Europe
India,New Delhi,Indian Rupee,Asia
Indonesia,Jakarta,Rupiah,Asia
Iran,Tehran,Rial,Asia
Iraq,Baghdad,Iraqi Dinar,Asia
Ireland,Dublin,Euro (formerly Irish pound [punt]),Europe
Israel,Jerusalem*,Shekel,Asia
Italy,Rome,Euro (formerly lira),Europe
Jamaica,Kingston,Jamaican dollar,North America
Japan,Tokyo,Yen,Asia
Jordan,Amman,Jordanian dinar,Asia
Kazakhstan,Nur Sultan,Tenge,Asia/ Europe
Kenya,Nairobi,Kenya shilling,Africa
Kiribati,Tarawa Atoll,Kiribati dollar,Oceania
North Korea,Pyongyang,Won,Asia
South Korea,Seoul,Won,Asia
Kuwait,Kuwait City,Kuwaiti Dinar,Asia
Kyrgyzstan,Bishkek,Som,Asia
Laos,Vientiane,New Kip,Asia
Latvia,Riga,Lats,Europe
Lebanon,Beirut,Lebanese pound,Asia
Lesotho,Maseru,Maluti,Africa
Liberia,Monrovia,Liberian dollar,Africa
Libya,Tripoli,Libyan dinar,Africa
Liechtenstein,Vaduz,Swiss franc,Europe
Lithuania,Vilnius,Litas,Europe
Luxembourg,Luxembourg,Euro (formerly Luxembourg franc),Europe
Macedonia,Skopje,Denar,Europe
Madagascar,Antananarivo,Malagasy Ariary,Africa
Malawi,Lilongwe,Kwacha,Africa
Malaysia,Kuala Lumpur,Ringgit,Asia
Maldives,Male,Rufiyaa,Asia
Mali,Bamako,CFA Franc,Africa
Malta,Valletta,Euro,Europe
Marshall Islands,Majuro,U.S. Dollar,Oceania
Mauritania,Nouakchott,Ouguiya,Africa
Mauritius,Port Louis,Mauritian rupee,African
Mexico,Mexico City,Mexican peso,North America
Federated States of Micronesia,Palikir,U.S. Dollar,Oceania
Moldova,Chisinau,Leu,Europe
Monaco,Monte Carlo,Euro,Europe
Mongolia,Ulaanbaatar,Togrog,Asia
Montenegro,Podgorica,Euro,Europe
Morocco,Rabat,Dirham,Africa
Mozambique,Maputo,Metical,Africa
Myanmar (Burma),Nay Pyi Taw,Kyat,Asia
Namibia,Windhoek,Namibian dollar,Africa
Nauru,no official capital; government offices in Yaren District,Australian dollar,Oceania
Nepal,Kathmandu,Nepalese rupee,Asia
Netherlands,Amsterdam; The Hague (seat of government),Euro (formerly guilder),Europe
New Zealand,Wellington,New Zealand dollar,Oceania
Nicaragua,Managua,Gold cordoba,North America
Niger,Niamey,CFA Franc,Africa
Nigeria,Abuja,Naira,Africa
Norway,Oslo,Norwegian krone,Europe
Oman,Muscat,Omani rial,Asia
Pakistan,Islamabad,Pakistani rupee,Asia
Palau,Melekeok,U.S. dollar,Oceania
Palestine,"Ramallah, East Jerusalem",Palestine Pound,Asia
Panama,Panama City,Balboa; U.S. dollar,North America
Papua New Guinea,Port Moresby ,Kina,Oceania
Paraguay,Asuncion,Guaraní,South America
Peru,Lima,Nuevo sol (1991),South America
Philippines,Manila,Peso,Asia
Poland,Warsaw,Zloty,Europe
Portugal,Lisbon,Euro (formerly escudo),Europe/ Asia
Qatar,Doha,Qatari riyal,Asia
Romania,Bucharest,Romanian Rupee,Europe
Russia,Moscow,Ruble,Europe/ Asia
Rwanda,Kigali,Rwandan franc,Africa
Saint Kitts and Nevis,Basseterre,East Caribbean dollar,North America
Saint Lucia,Castries,East Caribbean dollar,North America
Saint Vincent and the Grenadines,Kingstown ,East Caribbean dollar,North America
Samoa,Apia,Tala,Oceania
San Marino,San Marino,Euro,Europe
Sao Tome and Principe,Sao Tome,Dobra,Africa
Saudi Arabia,Riyadh,Riyal,Asia
Senegal,Dakar,CFA Franc,Africa
Serbia,Belgrade,Serbian Dinar,Europe
Seychelles,Victoria,Seychelles rupee,Africa
Sierra Leone,Freetown,Leone,Africa
Singapore,Singapore,Singapore dollar,Asia
Slovakia,Bratislava,Euro,Europe
Slovenia,Ljubljana,Slovenian tolar; euro (as of 1/1/07),Europe
Solomon Islands,Honiara,Solomon Islands dollar,Oceania
Somalia,Mogadishu,Somali shilling,Africa
South Africa,Pretoria (administrative); Cape Town (legislative); Bloemfontein (judiciary),Rand,Africa
South Sudan,Juba,Sudanese Pound,Africa
Spain,Madrid,Euro (formerly peseta),Europe/ Africa
Sri Lanka,Colombo; Sri Jayewardenepura Kotte (legislative),Sri Lankan rupee,Asia
Sudan,Khartoum,Sudanese Pound,Africa
Suriname,Paramaribo,Surinamese dollar,South America
Swaziland,Mbabane,Lilangeni,Africa
Sweden,Stockholm,Krona,Europe
Switzerland,Berne,Swiss franc,Europe
Syria,Damascus,Syrian pound,Asia
Taiwan,Taipei,Taiwan dollar,Asia
Tajikistan,Dushanbe,somoni,Asia
Tanzania,Dar es Salaam; Dodoma (legislative),Tanzanian shilling,Africa
Thailand,Bangkok,Baht,Asia
Togo,Lome,CFA Franc,Africa
Tonga,Nuku’alofa,Pa’anga,Oceania
Trinidad and Tobago,Port-of-Spain,Trinidad and Tobago dollar,South America
Tunisia,Tunis,Tunisian dinar,Africa
Turkey,Ankara,Turkish lira (YTL),Europe/ Asia
Turkmenistan,Ashgabat,Manat,Asia
Tuvalu,"Vaiaku village, Funafuti province",Tuvaluan Dollar,Oceania
Uganda,Kampala,Ugandan new shilling,Africa
Ukraine,Kiev,Hryvnia,Europe
United Arab Emirates,Abu Dhabi,U.A.E. Dirham,Asia
United Kingdom,London,Pound sterling,Europe
United States of America,Washington D.C.,Dollar,North America
Uruguay,Montevideo,Uruguay peso,South America
Uzbekistan,Tashkent,Uzbekistani sum,Asia
Vanuatu,Port-Vila,Vatu,Oceania
Vatican City (Holy See),Vatican City,Euro,Europe
Venezuela,Caracas,Bolivar,South America
Vietnam,Hanoi,Dong,Asia
Yemen,Sanaa,Rial,Asia
Zambia,Lusaka,Kwacha,Africa
